Breed Name,"Avg. Life Span, years",Adaptability,Adapts Well To Apartment Living,Good For Novice Owners,Tolerates Being Alone,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Amount Of Shedding,Easy To Groom,General Health,Size,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Energy Level,Exercise Needs,Potential For Playfulness,Dog Breed Group_Herding Dogs,Dog Breed Group_Hound Dogs,Dog Breed Group_Hybrid Dogs,Dog Breed Group_Mixed Breed Dogs,Dog Breed Group_Non-Sporting Dogs,Dog Breed Group_Sporting Dogs,Dog Breed Group_Terrier Dogs,Dog Breed Group_Working Dogs
Afador,11.0,2.4,1,1,3,4,2,3,1,4,2,3,4,1.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,0,0,0,1,0,0,0,0
Affenhuahua,16.0,3.0,4,4,1,4,3,2,2,2,4,4,1,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,0,0,0,1,0,0,0,0
Affenpinscher,13.0,3.2,5,4,1,5,1,4,3,1,3,4,1,2.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,0,0,0,0,0,0,0,0
Afghan Hound,11.0,4.0,5,3,2,5,5,4,2,4,1,3,4,1.0,4.0,3.0,5.0,2.0,5.0,4.0,4.0,0,1,0,0,0,0,0,0
Airedale Terrier,12.0,2.2,1,2,2,4,4,4,3,2,2,3,3,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0,0,0,0,0,0,1,0
Akbash,11.0,2.8,1,2,4,5,4,3,2,4,3,4,4,3.0,4.0,3.0,1.0,3.0,2.0,2.0,3.0,0,0,0,0,0,0,0,1
Akita,11.0,3.0,2,2,1,5,1,1,2,5,1,4,4,2.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,0,0,0,0,0,0,0,1
Akita Chow,11.0,2.8,2,1,2,1,1,1,2,4,1,2,4,2.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0,0,0,0,1,0,0,0,0
Akita Pit,11.0,2.6,3,1,4,4,3,3,2,3,4,4,4,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,0,0,0,1,0,0,0,0
Akita Shepherd,12.0,3.0,3,3,3,4,3,3,3,4,3,3,4,4.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,0,0,0,1,0,0,0,0
Alaskan Husky,12.5,3.0,3,3,3,5,5,5,5,3,4,4,3,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,0,1
Alaskan Klee Kai,14.0,3.2,3,2,2,4,3,2,2,4,4,4,2,4.0,4.0,2.0,5.0,3.0,4.0,4.0,4.0,0,0,0,0,0,0,0,0
Alaskan Malamute,14.0,2.4,1,1,1,4,3,2,5,5,1,4,4,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,0,1
American Bulldog,13.0,1.8,1,1,1,5,4,2,2,1,4,3,4,4.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,0,0,0,0,0,0,0,1
English Coonhound,11.0,2.8,1,2,2,5,5,4,5,3,5,4,3,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,0,0,0
American Eskimo,14.0,4.0,5,4,2,5,5,5,4,5,3,5,2,5.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,0,0,0,0,0,0,0,0
American Foxhound,12.0,2.0,1,2,1,4,5,5,4,3,5,5,3,2.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,0,1,0,0,0,0,0,0
American Hairless Terrier,14.0,2.6,4,3,2,4,4,3,3,1,5,4,2,3.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,0,0,0,0,0,0,1,0
American Leopard Hound,14.0,3.2,2,4,3,5,4,4,3,2,4,4,4,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,0,1,0,0,0,0,0,0
American Pit Bull Terrier,14.0,2.4,3,2,1,5,5,1,5,4,5,4,3,4.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,0,0,0,0,0,0,1,0
Pit Bull,14.0,2.4,3,2,1,5,5,1,5,4,5,4,3,4.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,0,0,0,0,0,0,1,0
American Pugabull,13.0,2.6,3,3,1,5,4,3,3,3,4,2,3,3.0,3.0,2.0,4.0,4.0,4.0,3.0,5.0,0,0,0,1,0,0,0,0
American Staffordshire Terrier,12.0,2.2,2,2,2,4,4,2,4,2,4,3,3,4.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,0,0,0,0,0,0,1,0
American Water Spaniel,14.0,2.4,2,2,1,5,5,2,3,3,3,3,3,4.0,3.0,5.0,2.0,3.0,5.0,5.0,5.0,0,0,0,0,0,1,0,0
Anatol Shepherd,12.0,3.0,1,2,3,3,2,2,1,2,4,3,5,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,0,0,0,0,0,0,0,1
Appenzeller Sennenhunde,10.0,2.6,1,3,1,5,5,3,2,3,5,4,3,4.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,1,0,0,0,0,0,0,0
Auggie,14.0,3.2,2,3,3,5,5,5,4,4,2,3,3,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,0,0,0,1,0,0,0,0
Aussiedoodle,12.0,2.6,2,3,2,5,4,4,4,3,3,4,3,5.0,5.0,3.0,3.0,2.0,5.0,5.0,5.0,0,0,0,1,0,0,0,0
Aussiepom,14.0,2.6,3,2,2,4,3,4,4,3,2,4,3,4.0,4.0,4.0,2.0,3.0,5.0,4.0,5.0,0,0,0,1,0,0,0,0
Australian Cattle Dog,14.0,2.8,2,1,3,5,3,4,2,3,4,5,3,5.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0
Queensland Heeler,14.0,2.8,2,1,3,5,3,4,2,3,4,5,3,5.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0
Australian Kelpie,12.0,2.6,2,2,2,4,2,3,2,3,4,3,3,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,1,0,0,0,0,0,0,0
Australian Retriever,14.0,2.8,1,4,2,4,4,3,3,3,3,4,4,4.0,4.0,2.0,3.0,2.0,5.0,5.0,4.0,0,0,0,1,0,0,0,0
Australian Shepherd,14.0,2.8,1,2,2,5,4,5,3,3,1,2,3,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0
Australian Shepherd Husky,14.0,2.6,1,2,1,5,3,2,2,4,3,3,4,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,0,0,0,1,0,0,0,0
Australian Shepherd Lab,14.0,3.6,2,2,4,4,4,4,4,4,4,4,4,5.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,0,0,0,1,0,0,0,0
Australian Shepherd Pit Bull,13.0,2.6,2,3,2,4,4,3,3,4,3,4,4,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0
Australian Stumpy Tail Cattle Dog,14.0,2.4,1,2,2,3,3,2,2,4,3,4,3,3.0,4.0,3.0,3.0,2.0,5.0,5.0,3.0,1,0,0,0,0,0,0,0
Australian Terrier,15.0,3.0,5,3,2,4,3,2,3,1,5,5,1,3.0,4.0,1.0,5.0,5.0,5.0,4.0,5.0,0,0,0,0,0,0,1,0
Azawakh,14.0,2.8,5,2,3,4,2,3,2,3,5,3,4,3.0,3.0,3.0,4.0,1.0,3.0,4.0,3.0,0,1,0,0,0,0,0,0
Barbet,14.0,2.6,3,2,1,5,4,4,3,2,1,4,3,4.0,4.0,2.0,3.0,3.0,5.0,3.0,4.0,0,0,0,0,0,1,0,0
Basenji,11.0,3.4,5,4,4,5,5,4,5,1,5,2,2,1.0,4.0,5.0,5.0,1.0,5.0,5.0,2.0,0,1,0,0,0,0,0,0
Bassador,11.0,2.8,2,2,3,3,3,3,3,5,3,3,4,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,0,0,0,1,0,0,0,0
Basset Fauve De Bretagne,14.0,3.4,4,4,3,5,4,4,3,2,4,5,2,3.0,5.0,3.0,3.0,2.0,4.0,4.0,3.0,0,1,0,0,0,0,0,0
Basset Hound,11.0,3.6,5,4,3,5,5,5,5,4,5,1,3,2.0,4.0,3.0,5.0,4.0,2.0,2.0,2.0,0,1,0,0,0,0,0,0
Basset Retriever,11.0,2.8,3,3,2,4,4,3,4,2,4,4,3,4.0,5.0,3.0,5.0,2.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0
Bavarian Mountain Scent Hound,12.0,2.2,2,3,2,5,4,3,2,1,3,4,3,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,0,1,0,0,0,0,0,0
Beabull,12.0,3.4,4,3,4,5,5,4,3,4,5,3,3,3.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,0,0,0,1,0,0,0,0
Beagle,12.0,2.8,4,3,1,5,5,5,5,3,4,1,2,1.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,0,1,0,0,0,0,0,0
Beaglier,12.0,3.2,5,4,1,5,5,5,5,3,4,2,2,2.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,0,0,0,1,0,0,0,0
Bearded Collie,13.0,3.4,3,4,2,5,4,5,4,4,2,3,3,5.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,1,0,0,0,0,0,0,0
Beauceron,11.0,High,No,No,Moderate,5,5,5,4,2,4,3,4,4.0,5.0,5.0,4.0,5.0,,,,1,0,0,0,0,0,0,0
Bedlington Terr,15.0,3.6,4,4,3,5,4,4,5,5,1,4,3,3.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,0,0,0,0,0,0,1,0
Belgian Laekenois,11.0,2.6,3,3,2,4,4,4,3,3,4,3,4,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,1,0,0,0,0,0,0,0
Belgian Malinois,13.0,3.2,1,3,3,5,4,2,3,2,5,4,4,5.0,5.0,3.0,4.0,2.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0
Belgian Sheepdog,11.0,3.6,3,3,3,4,5,5,4,5,3,3,4,5.0,5.0,2.0,5.0,1.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0
Belgian Tervuren,11.0,3.2,3,3,1,4,3,3,3,4,3,3,4,5.0,5.0,2.0,2.0,5.0,5.0,4.0,5.0,1,0,0,0,0,0,0,0
Bergamasco Sheepdog,14.0,3.2,3,4,3,4,5,4,4,2,4,5,3,3.0,5.0,2.0,2.0,3.0,4.0,3.0,4.0,1,0,0,0,0,0,0,0
Picardy Sheepdog,14.0,3.8,3,4,3,5,5,3,2,4,5,5,4,4.0,4.0,2.0,3.0,2.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0
Bernedoodle,15.0,3.4,3,3,2,5,5,4,3,1,3,4,3,4.0,5.0,4.0,3.0,3.0,4.0,3.0,5.0,0,0,0,1,0,0,0,0
Bernese Mountain Dog,8.0,2.6,1,2,1,5,5,3,5,5,3,1,5,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,0,0,0,0,0,0,0,1
Bichon Frise,14.0,3.8,5,5,1,5,4,4,5,2,1,4,2,5.0,4.0,3.0,4.0,2.0,5.0,3.0,5.0,0,0,0,0,0,0,0,0
Biewer Terrier,14.0,3.2,5,3,3,5,4,3,3,1,4,4,1,3.0,4.0,3.0,1.0,3.0,5.0,3.0,4.0,0,0,0,0,0,0,1,0
Black/Tan Hound,11.0,2.4,1,2,2,5,5,5,5,5,4,5,3,2.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,0,0,0
Black Mouth Cur,15.0,2.4,1,2,2,5,5,3,3,3,5,4,4,3.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,0,0,0,0,0,0,0,1
Black Russian Terrier,10.0,3.0,3,2,2,4,5,2,2,3,2,3,5,4.0,4.0,4.0,2.0,3.0,3.0,4.0,5.0,0,0,0,0,0,0,0,1
Bloodhound,13.0,2.4,1,2,2,5,5,5,5,4,1,3,4,3.0,4.0,5.0,3.0,4.0,5.0,5.0,3.0,0,1,0,0,0,0,0,0
Blue Lacy,14.0,2.4,1,1,2,4,3,2,2,3,5,4,3,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,0,0,0,0,0,0,0,1
Bluetick Hound,11.0,2.8,2,2,2,5,5,3,3,2,5,4,3,2.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,0,1,0,0,0,0,0,0
Bocker,14.0,3.4,5,3,1,5,4,4,4,3,3,3,2,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0
Boerboel,11.0,2.0,1,1,2,4,4,2,2,3,4,4,5,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,0,0,0,0,0,0,0,1
Boglen Terrier,12.0,3.2,4,4,2,5,5,5,5,2,4,3,2,2.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Bohemian Shepherd,12.0,3.0,2,3,2,4,4,4,3,4,4,4,3,4.0,5.0,2.0,2.0,2.0,4.0,4.0,5.0,1,0,0,0,0,0,0,0
Bolognese,13.0,3.4,5,3,2,5,5,5,5,1,1,5,1,5.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,0,0,0,0,0,0,0,0
Borador,12.0,2.6,3,3,2,5,4,4,4,4,3,3,4,4.0,5.0,3.0,3.0,2.0,4.0,4.0,5.0,0,0,1,0,0,0,0,0
Border Collie,14.0,2.8,2,2,1,5,4,3,5,3,3,2,3,5.0,5.0,3.0,3.0,2.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0
Border Sheepdog,14.0,2.6,2,3,2,5,4,3,3,3,3,4,3,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,0,0,0,1,0,0,0,0
Border Terrier,14.0,3.0,4,3,1,5,4,2,5,3,2,4,2,3.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,0,0,0,0,0,0,1,0
Bordoodle,14.0,3.6,4,4,3,4,5,3,2,2,4,4,3,4.0,5.0,3.0,2.0,2.0,3.0,3.0,4.0,0,0,0,1,0,0,0,0
Borzoi,11.0,3.6,5,3,1,4,3,4,4,5,4,4,5,3.0,4.0,3.0,5.0,2.0,2.0,2.0,3.0,0,1,0,0,0,0,0,0
BoShih,14.0,3.0,5,4,1,4,2,3,4,2,5,3,2,2.0,3.0,1.0,1.0,2.0,3.0,3.0,5.0,0,0,0,1,0,0,0,0
Bossie,14.0,3.0,2,2,5,4,4,4,4,2,3,3,3,4.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,0,0,0,1,0,0,0,0
Boston Boxer,14.0,3.0,4,3,2,4,4,4,2,3,4,4,3,3.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Boston Terrier,14.0,4.0,5,4,3,4,5,5,4,2,5,4,2,4.0,4.0,2.0,2.0,3.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0
Boston Terrier Pekingese Mix,12.0,2.8,4,3,2,4,4,3,3,2,4,4,1,2.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,0,0,0,1,0,0,0,0
Bouvier des Flandres,11.0,3.0,3,2,2,5,5,2,2,1,2,3,4,5.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,1,0,0,0,0,0,0,0
Boxador,14.0,2.0,2,2,1,5,4,4,4,4,5,2,4,5.0,5.0,3.0,2.0,3.0,5.0,5.0,5.0,0,0,0,1,0,0,0,0
Boxer,11.0,2.8,4,3,1,5,4,3,4,4,5,2,3,4.0,4.0,2.0,3.0,3.0,5.0,5.0,5.0,0,0,0,0,0,0,0,1
Boxerdoodle,11.0,2.4,1,3,2,4,3,4,3,2,3,3,3,4.0,4.0,2.0,3.0,2.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Boxmatian,12.0,2.0,1,2,2,4,3,2,1,3,3,5,5,3.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,0,0,0,1,0,0,0,0
Boxweiler,10.0,2.8,2,3,2,5,4,4,2,3,3,3,4,4.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0
Boykin Span,11.0,2.8,1,3,3,5,5,4,3,4,1,2,3,4.0,4.0,4.0,2.0,3.0,5.0,5.0,4.0,0,0,0,0,0,1,0,0
Bracco Italiano,12.0,2.6,1,2,3,5,4,5,3,3,5,2,4,3.0,4.0,2.0,5.0,2.0,4.0,5.0,4.0,0,0,0,0,0,1,0,0
Braque du Bourbonnais,14.0,2.2,1,3,2,5,4,4,4,2,4,4,3,4.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,0,0,0,0,0,0,0,1
Briard,11.0,3.4,3,3,3,4,5,5,2,1,1,3,4,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,1,0,0,0,0,0,0,0
Brittany,12.0,2.8,1,3,1,5,5,5,4,3,3,4,3,3.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,0,0,0,0,0,1,0,0
Broholmer,10.0,3.0,2,4,3,5,4,3,3,3,4,4,5,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,0,0,0,0,0,0,0,0
Bruss Griffon,14.0,2.8,5,2,1,5,4,4,3,3,3,3,1,3.0,4.0,3.0,1.0,4.0,5.0,4.0,5.0,0,0,0,0,0,0,0,0
Bugg,12.0,3.2,5,4,2,4,3,2,3,2,4,4,2,3.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,0,0,0,1,0,0,0,0
Bull Arab,14.0,2.4,2,1,3,3,3,1,2,2,4,4,4,2.0,4.0,3.0,5.0,2.0,4.0,4.0,2.0,0,0,1,0,0,0,0,0
Bull-Pei,10.0,2.6,4,2,3,3,2,2,2,4,4,3,3,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,0,0,0,1,0,0,0,0
Bull Terrier,12.0,3.0,4,3,2,5,5,4,5,3,5,4,2,5.0,4.0,4.0,4.0,1.0,4.0,5.0,5.0,0,0,0,0,0,0,1,0
Bull Terrier Miniature,12.0,3.0,5,4,3,5,5,4,5,3,5,4,2,5.0,4.0,4.0,4.0,1.0,4.0,5.0,5.0,0,0,0,0,0,0,1,0
Bullador,11.0,2.4,2,2,2,4,4,4,4,4,4,3,4,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0
Bullboxer Pit,12.0,2.0,1,2,2,4,4,2,2,4,4,4,3,2.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,0,0,0,1,0,0,0,0
Bulldog,10.0,3.4,5,4,3,5,4,2,5,3,5,4,2,3.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,0,0,0,0,0,0,0,0
English Bulldog,10.0,3.4,5,4,3,5,4,2,5,3,5,4,2,3.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,0,0,0,0,0,0,0,0
Old English Bulldog,11.5,3.2,4,4,2,4,4,4,4,3,2,4,3,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,0,0,0,0,1,0,0,0
Bullmastiff,9.0,3.0,3,2,2,5,5,4,3,1,5,2,5,3.0,3.0,3.0,3.0,4.0,2.0,3.0,5.0,0,0,0,0,0,0,0,1
Bullmatian,10.0,2.2,2,1,3,4,5,4,3,2,4,4,3,1.0,4.0,3.0,3.0,2.0,5.0,4.0,4.0,0,0,0,1,0,0,0,0
Cairn Terrier,14.0,3.4,5,4,1,5,5,4,4,3,5,4,1,2.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,0,0,0,0,0,0,1,0
Canaan Dog,14.0,3.2,4,2,3,4,2,3,2,4,5,5,3,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,1,0,0,0,0,0,0,0
Cane Corso,11.0,1.8,1,1,1,4,2,3,2,3,5,3,4,4.0,5.0,2.0,5.0,3.0,4.0,5.0,2.0,0,0,0,0,0,0,0,1
Cardigan Welsh Corgi,14.0,3.8,4,4,3,5,4,3,3,4,3,4,2,4.0,5.0,2.0,4.0,4.0,3.0,3.0,4.0,1,0,0,0,0,0,0,0
Carolina Dog,14.0,2.2,2,2,1,2,3,5,2,4,4,5,3,2.0,4.0,2.0,5.0,1.0,4.0,4.0,3.0,0,1,0,0,0,0,0,0
Catahoula Bulldog,12.0,1.6,1,1,3,4,3,2,1,1,5,4,4,2.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,0,0,0,1,0,0,0,0
Catahoula,12.0,1.8,1,1,2,5,3,1,1,3,5,3,4,2.0,3.0,3.0,1.0,3.0,4.0,5.0,2.0,1,0,0,0,0,0,0,0
Caucasian Shepherd Dog,11.0,2.6,2,1,3,4,2,2,2,4,2,3,5,2.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,0,0,0,0,0,0,0,1
Cav-a-Jack,14.0,3.0,4,4,1,4,4,4,4,2,4,3,2,4.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Cavachon,12.0,3.8,5,5,1,5,5,5,5,2,2,4,2,4.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Cavador,12.0,3.4,3,5,2,5,5,4,3,3,4,4,3,4.0,4.0,2.0,3.0,3.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Cavalier Span,12.0,3.8,5,5,1,5,5,5,5,3,4,4,2,4.0,4.0,3.0,3.0,2.0,3.0,4.0,5.0,0,0,0,0,0,0,0,0
Cavapoo,14.0,3.0,3,3,2,5,5,4,4,2,3,3,2,4.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,0,0,0,1,0,0,0,0
Central Asian Shepherd Dog,14.0,2.6,1,1,2,3,3,4,2,4,5,5,4,2.0,5.0,2.0,1.0,3.0,3.0,4.0,2.0,0,0,0,0,0,0,0,1
Cesky Terrier,12.0,3.8,5,4,3,5,3,2,3,1,4,5,2,4.0,3.0,3.0,2.0,3.0,2.0,3.0,5.0,0,0,0,0,0,0,1,0
Chabrador,11.0,3.4,4,2,3,4,4,2,2,4,4,4,3,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,0,0,0,1,0,0,0,0
Cheagle,12.0,2.8,4,4,1,5,3,3,2,3,5,3,2,2.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,0,0,0,1,0,0,0,0
Chesa Bay Retr,11.0,2.2,1,1,2,5,3,1,1,5,5,4,3,3.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,0,0,0,0,0,1,0,0
Chi Chi,16.0,2.8,4,2,2,3,3,2,3,2,4,4,2,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,0,0,0,1,0,0,0,0
Chi-Poo,14.0,4.2,5,5,4,5,5,3,3,2,3,2,2,5.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,0,0,0,1,0,0,0,0
Chigi,13.0,3.4,3,4,2,5,5,2,2,4,5,3,1,4.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0
Chihuahua Longhair,14.0,3.2,5,4,2,5,5,2,2,3,2,2,1,4.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,0,0,0,0,0,0,0,0
Chihuahua Shorthair,14.0,3.2,5,4,1,5,5,2,2,2,5,2,1,4.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,0,0,0,0,0,0,0,0
Chilier,14.0,2.8,4,2,2,4,4,4,3,2,4,4,2,2.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,0,0,0,1,0,0,0,0
