Breed Name,"Avg. Life Span, years",Adaptability,Adapts Well To Apartment Living,Good For Novice Owners,Tolerates Being Alone,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Amount Of Shedding,Easy To Groom,General Health,Size,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Energy Level,Exercise Needs,Potential For Playfulness,Dog Breed Group_Herding Dogs,Dog Breed Group_Hound Dogs,Dog Breed Group_Hybrid Dogs,Dog Breed Group_Mixed Breed Dogs,Dog Breed Group_Non-Sporting Dogs,Dog Breed Group_Sporting Dogs,Dog Breed Group_Terrier Dogs,Dog Breed Group_Working Dogs
Lhasa Apso,14.0,4.4,5,5,4,4,4,3,2,3,1,3,1,3.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,0,0,0,0,0,0,0,0
Lhasapoo,12.0,3.0,4,2,2,4,3,3,1,1,3,4,3,3.0,5.0,2.0,2.0,4.0,4.0,3.0,4.0,0,0,0,1,0,0,0,0
Lowchen,14.0,3.2,5,4,1,5,5,4,4,3,3,5,1,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0
Maltese,14.0,3.2,5,5,1,5,3,4,2,2,2,3,1,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,0,0,0,0,0,0,0,0
Maltese Shih Tzu,13.0,3.6,5,5,3,4,3,3,3,1,2,2,1,4.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,0,0,1,0,0,0,0,0
Maltipoo,12.0,3.6,5,5,1,5,4,4,4,1,3,2,2,5.0,4.0,3.0,2.0,5.0,3.0,2.0,4.0,0,0,1,0,0,0,0,0
Manchester Terrier,15.0,3.0,5,3,3,4,3,3,3,3,5,2,2,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,1,0
Maremma Sheepdog,12.0,2.4,1,1,2,4,4,4,1,5,2,5,4,1.0,5.0,2.0,1.0,2.0,4.0,4.0,2.0,0,0,0,0,0,0,0,1
Mastador,11.0,2.8,1,2,3,5,5,3,3,4,4,4,4,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0
Mastiff,8.0,2.6,2,1,3,5,5,2,2,3,3,3,5,3.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,0,0,0,0,0,0,0,1
Miniature Pinscher,12.0,3.2,5,3,2,5,3,2,3,2,5,3,1,3.0,3.0,2.0,3.0,5.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0
Miniature Poodle,14.0,4.0,5,5,2,5,5,4,4,1,1,2,4,5.0,5.0,4.0,2.0,2.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0
Miniature Schnauzer,13.0,4.0,4,3,5,5,3,3,3,2,2,3,2,5.0,4.0,2.0,4.0,3.0,5.0,5.0,4.0,0,0,0,0,0,0,1,0
Morkie,12.0,2.4,3,2,2,4,3,2,3,1,3,4,1,3.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Mountain Cur,13.0,2.2,1,1,2,4,4,3,2,2,4,5,4,2.0,4.0,2.0,5.0,3.0,4.0,5.0,4.0,0,0,0,0,0,0,0,1
Feist,14.0,2.8,2,1,3,5,3,3,2,3,5,4,2,3.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,0,0,0,0,0,0,1,0
Mudi,13.0,3.0,2,4,2,4,2,2,2,3,4,4,2,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,1,0,0,0,0,0,0,0
Neapolitan Mastiff,9.0,1.8,2,1,1,5,4,2,1,3,3,2,5,3.0,3.0,2.0,1.0,1.0,3.0,3.0,4.0,0,0,0,0,0,0,0,1
Newfoundland,9.0,2.8,1,3,1,5,5,4,4,5,2,1,5,5.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,0,0,0,0,0,0,0,1
Norfolk Terrier,14.0,4.0,4,5,3,5,4,5,4,1,4,5,1,5.0,4.0,2.0,1.0,3.0,4.0,4.0,5.0,0,0,0,0,0,0,1,0
Northern Inuit Dog,14.0,2.4,1,1,1,5,4,3,5,5,2,4,4,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,0,0,1,0,0,0,0,0
Norwegian Buhund,14.0,3.6,3,3,4,5,5,3,3,3,2,4,3,4.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0,1,0,0,0,0,0,0,0
Norwegian Elkhound,14.0,3.8,4,4,2,5,4,4,4,5,3,4,3,2.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,0,1,0,0,0,0,0,0
Norwegian Lundehund,11.0,2.4,1,1,2,5,5,5,5,5,4,3,3,4.0,5.0,3.0,2.0,1.0,4.0,5.0,5.0,0,0,0,0,0,0,0,1
Norwich Terrier,12.0,3.6,5,3,2,5,5,5,5,2,2,4,1,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,0,0,0,0,0,0,1,0
Nova Scotia Duck Tolling Retriever,12.0,3.4,5,3,2,5,5,4,4,3,5,4,3,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,0,0,0,0,0,1,0,0
Old English Sheepdog,11.0,3.8,5,4,2,5,4,4,4,1,1,4,4,3.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,1,0,0,0,0,0,0,0
Otterhound,11.0,3.2,1,4,5,5,5,5,4,4,2,4,4,2.0,4.0,3.0,5.0,2.0,5.0,5.0,5.0,0,1,0,0,0,0,0,0
Papillon,14.0,3.2,5,5,1,5,3,4,5,2,3,3,1,5.0,4.0,3.0,4.0,2.0,4.0,5.0,5.0,0,0,0,0,0,0,0,0
Papipoo,12.0,3.4,5,5,1,5,3,4,4,1,2,3,1,5.0,5.0,3.0,3.0,2.0,5.0,5.0,5.0,0,0,0,1,0,0,0,0
Parson Russell Terrier,12.0,3.0,3,2,3,5,4,5,4,3,3,4,2,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,0,0,0,0,0,0,1,0
Patterdale Terr,12.0,2.4,1,2,1,4,4,4,4,2,4,4,2,3.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,0,0,0,0,0,0,1,0
Peekapoo,12.0,3.8,5,5,2,5,4,4,3,2,2,3,1,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,0,0,1,0,0,0,0,0
Pekingese,14.0,3.6,5,4,3,5,2,2,2,4,1,2,1,3.0,4.0,3.0,5.0,4.0,2.0,2.0,3.0,0,0,0,0,0,0,0,0
Pembroke Welsh Corgi,13.0,3.8,4,4,3,5,4,3,5,5,4,3,2,5.0,5.0,2.0,3.0,5.0,4.0,4.0,4.0,1,0,0,0,0,0,0,0
Pbgv,14.0,3.4,4,3,3,5,5,5,5,4,2,3,2,1.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,0,0,0
Grand Basset Griffon Vendeen,12.0,3.0,4,3,2,5,5,5,5,3,2,4,3,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,0,1,0,0,0,0,0,0
Pharaoh Hound,12.0,3.2,4,4,2,5,5,5,4,2,4,5,3,3.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,0,1,0,0,0,0,0,0
Pitsky,14.0,2.2,2,1,1,5,5,3,5,4,3,4,3,3.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,0,0,0,1,0,0,0,0
Plott Hound,13.0,2.0,1,1,2,4,3,5,3,2,5,5,3,4.0,3.0,3.0,5.0,1.0,4.0,5.0,3.0,0,1,0,0,0,0,0,0
Presa Canario,11.0,3.4,3,2,4,2,4,2,1,3,2,2,1,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,0,0,0,0,0,0,0,1
Pocket Beagle,10.0,3.0,4,3,2,5,5,5,4,3,5,3,2,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,0,1,0,0,0,0,0,0
Pointer,14.0,1.6,1,1,1,5,5,5,5,3,5,3,3,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,0,0,0,0,0,1,0,0
English Pointer,14.0,1.6,1,1,1,5,5,5,5,3,5,3,3,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,0,0,0,0,0,1,0,0
Polish Lowland Sheepdog,11.0,3.4,4,2,3,5,4,3,3,1,1,4,3,4.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,1,0,0,0,0,0,0,0
Pomapoo,14.0,3.6,5,5,1,5,3,3,3,3,1,3,1,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,0,0,0,1,0,0,0,0
Pomchi,15.0,3.0,4,3,3,4,3,3,3,3,2,5,1,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,0,0,0,1,0,0,0,0
Pomeagle,14.0,3.2,4,4,1,5,3,3,3,4,2,3,1,3.0,2.0,3.0,3.0,5.0,4.0,3.0,4.0,0,0,0,1,0,0,0,0
Pomeranian,14.0,3.4,4,4,1,5,2,2,3,4,2,3,1,4.0,4.0,2.0,2.0,5.0,3.0,2.0,3.0,0,0,0,0,0,0,0,0
Pomsky,14.0,3.4,5,2,1,5,2,3,3,4,2,3,2,3.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,0,0,0,1,0,0,0,0
Poochon,14.0,3.8,5,5,1,5,5,4,4,1,1,3,2,5.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Standard Poodle,14.0,3.6,5,5,1,5,5,4,4,1,1,2,4,5.0,5.0,4.0,2.0,2.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0
Podengo Pequeno,14.0,3.4,5,4,3,4,4,4,4,3,4,4,1,4.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,0,1,0,0,0,0,0,0
Portuguese Pointer,13.0,2.0,1,1,1,4,4,2,4,1,4,4,3,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,0,0,0,0,0,1,0,0
Portuguese Sheepdog,12.0,2.8,2,2,2,4,4,4,2,2,4,5,4,3.0,5.0,3.0,2.0,4.0,4.0,4.0,3.0,1,0,0,0,0,0,0,0
Port Water Dog,12.0,3.4,4,3,2,5,5,5,3,1,2,4,3,4.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,0,0,0,0,0,0,0,1
Pudelpointer,12.0,2.2,2,3,2,4,3,3,3,3,3,4,4,4.0,4.0,3.0,4.0,2.0,4.0,5.0,3.0,0,0,0,0,0,0,0,1
Pug,14.0,3.2,5,5,1,5,4,4,4,5,5,1,2,3.0,2.0,2.0,3.0,2.0,3.0,3.0,5.0,0,0,0,0,0,0,0,0
Pugalier,14.0,3.8,5,5,2,5,5,5,5,4,4,3,2,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,0,0,0,1,0,0,0,0
Puggle,12.0,3.6,4,5,3,3,5,5,5,3,5,4,2,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,0,0,1,0,0,0,0,0
Puginese,13.0,4.0,5,3,4,4,3,2,2,3,4,3,2,2.0,2.0,2.0,,3.0,3.0,3.0,4.0,0,0,0,1,0,0,0,0
Puli,12.0,3.0,4,1,2,5,5,5,2,1,1,5,3,2.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0
Pyredoodle,11.0,3.4,3,4,3,5,4,4,3,2,3,4,4,3.0,5.0,3.0,2.0,3.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Pyrenean Mastiff,12.0,3.2,2,2,4,4,4,4,1,3,3,4,5,3.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,0,0,0,0,0,0,0,1
Pyrenean Shepherd,16.0,3.2,5,2,1,5,5,2,2,3,3,2,2,2.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,1,0,0,0,0,0,0,0
Rat Terrier,16.0,3.2,5,3,3,4,5,3,4,4,5,4,1,5.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,0,0,0,0,0,0,1,0
Redbone Hound,11.0,3.2,4,2,2,5,5,4,3,2,5,3,3,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,0,1,0,0,0,0,0,0
Rhod Ridgeback,11.0,2.4,1,2,2,5,4,4,3,4,5,4,4,2.0,4.0,3.0,5.0,1.0,4.0,5.0,5.0,0,1,0,0,0,0,0,0
Rottador,11.0,3.0,3,2,1,5,4,3,3,4,5,2,4,4.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,0,0,0,1,0,0,0,0
Rottle,12.0,3.2,4,3,3,5,4,3,3,2,4,4,3,5.0,5.0,3.0,3.0,2.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Rottweiler,10.0,2.0,2,1,1,5,4,2,4,4,5,2,3,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,0,0,0,0,0,0,0,1
Saint Berdoodle,10.0,3.2,2,5,2,5,5,5,4,3,4,4,4,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,1,0,0,0,0
St. Bernard Rough Coat,9.0,3.0,3,2,1,5,5,5,5,4,2,2,5,2.0,4.0,3.0,1.0,1.0,3.0,2.0,4.0,0,0,0,0,0,0,0,1
St. Bernard Smooth Coat,9.0,3.0,3,2,1,5,5,5,5,3,2,2,5,2.0,4.0,3.0,1.0,1.0,3.0,2.0,4.0,0,0,0,0,0,0,0,1
Saluki,13.0,2.2,1,2,1,5,4,4,1,2,4,4,4,4.0,4.0,4.0,5.0,1.0,5.0,5.0,5.0,0,1,0,0,0,0,0,0
Samoyed,13.0,3.0,2,2,2,5,5,5,5,5,1,3,3,3.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,0,0,0,0,0,0,0,1
Samusky,14.0,3.0,2,3,2,4,5,4,4,4,2,3,4,3.0,5.0,3.0,3.0,2.0,5.0,4.0,5.0,0,0,0,1,0,0,0,0
Schipperke,14.0,3.2,4,2,3,4,5,2,2,3,5,4,1,2.0,4.0,3.0,2.0,4.0,5.0,5.0,5.0,0,0,0,0,0,0,0,0
Mini Schnoodle,13.0,3.5,4,5,3,5,5,4,4,2,4,4,3,4.0,5.0,3.0,3.0,2.0,4.0,3.0,4.0,0,0,1,0,0,0,0,0
Standard Schnoodle,12.0,3.2,3,5,2,4,5,3,3,2,4,3,4,4.0,5.0,3.0,3.0,2.0,4.0,4.0,4.0,0,0,1,0,0,0,0,0
Giant Schnoodle,10.5,3.0,3,4,2,3,5,3,3,2,3,3,4,4.0,5.0,3.0,3.0,2.0,4.0,4.0,3.0,0,0,1,0,0,0,0,0
Scottish Deerhound,10.0,2.2,1,1,2,5,4,2,5,5,2,3,5,2.0,3.0,4.0,5.0,1.0,5.0,5.0,5.0,0,1,0,0,0,0,0,0
Scottish Terrier,12.0,3.4,4,2,3,5,4,4,4,2,2,4,2,1.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,1,0
Sealyham Terrier,13.0,3.6,4,4,2,4,4,4,3,4,1,5,2,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,1,0
Sheepadoodle,14.0,3.8,4,4,2,5,5,4,4,1,3,4,4,3.0,5.0,3.0,1.0,2.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Shepsky,12.0,2.4,1,1,2,5,4,3,4,4,3,4,4,4.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,0,0,0,1,0,0,0,0
Shetland Sheepdog,14.0,3.2,2,3,2,5,5,4,5,5,2,4,2,5.0,5.0,1.0,3.0,4.0,4.0,4.0,4.0,1,0,0,0,0,0,0,0
Shiba Inu,14.0,4.2,5,4,5,4,3,3,3,4,4,3,2,2.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,0,0,0,0,0,0,0,0
Shichon,15.0,3.2,5,4,1,5,5,4,4,1,4,4,2,3.0,4.0,1.0,1.0,2.0,4.0,3.0,5.0,0,0,0,1,0,0,0,0
Shih-Poo,15.0,3.2,5,2,2,5,3,2,4,1,2,3,1,2.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,0,0,0,1,0,0,0,0
Shih Tzu,13.0,3.8,5,5,3,5,4,4,5,3,1,3,1,3.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,0,0,0,0,0,0,0,0
Shikoku,11.0,3.2,3,2,3,4,3,2,2,4,4,5,3,2.0,4.0,2.0,4.0,2.0,3.0,3.0,2.0,0,0,0,0,0,0,0,0
Shiloh Shepherd,12.0,2.8,1,2,2,5,5,4,5,4,4,3,5,5.0,5.0,4.0,1.0,4.0,4.0,4.0,5.0,0,0,0,0,0,0,0,1
Shiranian,14.0,3.2,4,4,2,5,3,3,4,2,2,2,2,2.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,0,0,0,1,0,0,0,0
Shollie,14.0,2.4,1,2,2,4,4,3,2,4,3,3,4,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,0,0,0,1,0,0,0,0
Shorkie,14.0,2.8,5,3,1,4,3,2,3,2,4,2,1,2.0,3.0,2.0,4.0,4.0,4.0,2.0,5.0,0,0,0,1,0,0,0,0
Siberian Husky,14.0,2.6,2,1,1,5,5,5,5,4,2,4,3,2.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,0,1
Silken Windhound,17.0,3.6,4,4,2,5,4,3,4,2,4,4,3,5.0,4.0,3.0,5.0,1.0,4.0,4.0,5.0,0,1,0,0,0,0,0,0
Silky Terrier,14.0,3.0,5,3,3,4,3,2,3,2,4,4,1,4.0,4.0,2.0,5.0,4.0,4.0,3.0,4.0,0,0,0,0,0,0,0,0
Skye Terrier,13.0,3.4,4,4,2,4,4,2,5,3,3,5,2,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,0,0,0,0,0,0,1,0
Sloughi,14.0,3.0,4,2,3,5,5,4,3,3,5,3,4,3.0,4.0,3.0,5.0,2.0,5.0,5.0,3.0,0,1,0,0,0,0,0,0
Small Munsterlander Pointer,13.0,3.0,1,2,4,5,5,5,4,3,3,5,3,5.0,5.0,3.0,5.0,3.0,4.0,5.0,4.0,0,0,0,0,0,1,0,0
Smooth Fox Terrier,12.0,3.0,3,3,3,4,4,3,3,2,2,4,2,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,0,0,0,0,0,0,1,0
Soft Coated Wheaten Terrier,14.0,3.4,5,4,2,5,5,5,5,2,3,4,3,4.0,4.0,2.0,3.0,3.0,4.0,4.0,5.0,0,0,0,0,0,0,1,0
Spanish Mastiff,11.0,2.6,2,1,3,4,4,2,2,3,3,4,5,2.0,4.0,2.0,1.0,1.0,3.0,3.0,4.0,0,0,0,0,0,0,0,1
Spanish Water Dog,12.0,3.5,2,3,2,5,5,4,5,2,2,3,3,4.0,2.0,4.5,3.0,3.0,,,,1,0,0,0,0,0,0,0
Spinone Italiano,12.0,3.8,4,4,2,5,5,5,5,3,2,3,4,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,0,0,0,0,0,1,0,0
Springador,12.0,2.8,2,3,1,4,3,3,3,1,4,4,4,5.0,5.0,2.0,4.0,3.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0
Stabyhoun,14.0,2.8,2,3,3,5,5,4,3,3,3,5,3,5.0,5.0,1.0,4.0,3.0,3.0,4.0,5.0,0,0,0,0,0,1,0,0
Staffordshire,13.0,2.6,3,1,2,5,5,1,5,3,5,3,2,2.0,3.0,2.0,2.0,3.0,3.0,4.0,5.0,0,0,0,0,0,0,1,0
Staffy Bull Bullmastiff,14.0,2.6,4,1,2,5,4,1,1,3,4,3,4,1.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,0,0,1,0,0,0,0,0
Standard Schnauzer,14.0,3.2,4,2,2,4,4,3,2,1,2,5,3,3.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,0,0,0,0,0,0,0,1
Sussex Spaniel,12.0,4.2,5,5,1,5,5,5,5,3,4,4,2,3.0,5.0,2.0,1.0,4.0,2.0,2.0,4.0,0,0,0,0,0,1,0,0
Swedish Lapphund,13.0,3.0,2,2,2,4,4,4,4,4,2,3,3,4.0,5.0,4.0,2.0,4.0,3.0,3.0,4.0,1,0,0,0,0,0,0,0
Swedish Vallhund,14.0,2.8,3,1,3,5,4,3,5,4,5,4,3,5.0,5.0,2.0,4.0,1.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0
Taiwan Dog,12.0,2.8,3,2,2,4,3,4,2,3,4,4,3,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,0,1,0,0,0,0,0,0
Terripoo,12.0,3.2,5,5,1,5,4,3,3,1,3,3,1,4.0,5.0,2.0,4.0,3.0,5.0,4.0,5.0,0,0,0,1,0,0,0,0
Texas Heeler,14.0,3.0,2,3,3,4,3,3,3,4,3,3,3,3.0,5.0,4.0,3.0,2.0,5.0,5.0,4.0,0,0,0,1,0,0,0,0
Thai Ridgeback,12.0,2.4,2,2,2,3,2,3,3,3,4,4,3,2.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,0,0,0,0,0,0,0,0
Tibetan Mastiff,12.0,2.6,1,1,1,5,5,5,2,2,4,3,5,1.0,5.0,5.0,3.0,2.0,4.0,2.0,5.0,0,0,0,0,0,0,0,1
Tibetan Spaniel,14.0,3.2,5,4,1,5,5,4,3,3,4,5,1,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,0,0,0,0,0,0,0,0
Tibetan Terrier,14.0,3.4,5,3,1,5,5,4,3,1,1,5,2,4.0,4.0,2.0,2.0,4.0,5.0,5.0,5.0,0,0,0,0,0,0,0,0
Toy Fox Terrier,14.0,3.0,5,3,1,5,4,3,3,4,5,5,1,3.0,4.0,2.0,5.0,4.0,5.0,5.0,5.0,0,0,0,0,0,0,0,0
Toy Poodle,15.0,4.4,5,5,2,5,5,4,4,1,1,2,4,5.0,5.0,4.0,2.0,2.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0
Transylvanian Hound,11.0,2.6,3,2,3,4,3,3,2,3,4,4,3,2.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,0,1,0,0,0,0,0,0
Treeing Cur,10.0,2.2,3,2,2,5,5,5,5,3,4,4,3,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,0,1
Treeing Tennesse Brindle,11.0,2.2,1,2,2,4,4,4,3,4,5,4,3,3.0,4.0,3.0,4.0,1.0,4.0,5.0,3.0,0,1,0,0,0,0,0,0
Treeing Walker Coonhound,12.0,2.6,1,2,2,4,4,3,3,3,5,4,4,2.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,0,1,0,0,0,0,0,0
Valley Bulldog,10.0,2.8,4,3,2,5,4,3,4,4,5,3,4,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0
Vizsla,12.0,2.2,1,3,1,5,5,5,5,2,5,4,3,5.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,0,0,0,0,0,1,0,0
Wirehaired Vizsla,12.0,2.5,1,3,1,5,5,5,5,2,5,4,3,5.0,4.0,4.0,2.2,5.2,5.0,5.0,5.0,0,0,0,0,0,1,0,0
Weimaraner,12.0,2.4,1,2,1,5,4,3,3,4,5,3,4,4.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,0,0,0,0,0,1,0,0
Welsh Springer Spaniel,12.0,3.6,4,4,1,5,5,4,3,3,4,4,3,5.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,0,0,0,0,0,1,0,0
Welsh Terrier,12.0,2.6,3,3,2,4,5,5,4,2,2,5,2,3.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,0,0,0,0,0,0,1,0
West Highland,14.0,3.6,4,4,2,5,4,5,3,4,3,3,2,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,1,0
Westiepoo,14.0,3.0,3,4,1,4,4,4,4,1,5,4,2,4.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0
Whippet,14.0,3.2,5,3,2,5,5,4,4,2,5,4,3,4.0,4.0,4.0,5.0,1.0,5.0,5.0,5.0,0,1,0,0,0,0,0,0
Whoodle,14.0,2.6,4,1,1,4,4,3,4,2,3,4,3,2.0,4.0,1.0,2.0,1.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0
Wirehaired Pointing Griffon,12.0,2.6,1,3,1,5,5,4,5,1,3,4,3,5.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,0,0,0,0,0,1,0,0
Mexican Hairless,17.0,3.0,5,1,1,5,3,2,1,1,5,5,3,3.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,0,0,0,0,0,0,0,0
Yakutian Laika,11.0,2.6,1,3,1,5,4,4,4,4,3,4,3,4.0,4.0,2.0,3.0,4.0,4.0,5.0,4.0,0,0,0,0,0,0,0,1
Yorkipoo,12.0,3.8,5,5,3,5,4,3,2,1,4,3,1,4.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,0,0,1,0,0,0,0,0
Yorkshire Terrier,14.0,3.6,5,4,2,4,2,3,2,2,2,4,1,3.0,3.0,2.0,2.0,3.0,5.0,4.0,5.0,0,0,0,0,0,0,0,0
